5,Ciência do Solo
5,Fitossanidade
5,Fitotecnia
5,"Floricultura, Parques e Jardins"
5,Agrometeorologia
5,Extensão Rural
5,Silvicultura
5,Manejo Florestal
5,Técnicas e Operações Florestais
5,Tecnologia e Utilização de Produtos Florestais
5,Conservação da Natureza
5,Energia de Biomassa Florestal
5,Máquinas e Implementos Agrícolas
5,Engenharia de Água e Solo
5,Engenharia de Processamento de Produtos Agrícolas
5,Construções Rurais e Ambiência
5,Energização Rural
5,Ecologia dos Animais Domésticos e Etologia
5,Genética e Melhoramento dos Animais Domésticos
5,Nutrição e Alimentação Animal
5,Pastagem e Forragicultura
5,Produção Animal
5,Clínica e Cirurgia Animal
5,Medicina Veterinária Preventiva
5,Patologia Animal
5,Reprodução Animal
5,Inspeção de Produtos de Origem Animal
5,Recursos Pesqueiros Marinhos
5,Recursos Pesqueiros de Águas Interiores
5,Aquicultura
5,Engenharia de Pesca
5,Ciência de Alimentos
5,Tecnologia de Alimentos
5,Engenharia de Alimentos
6,Teoria do Direito
6,Direito Público
6,Direito Privado
6,Direitos Especiais
6,Administração de Empresas
6,Administração Pública
6,Administração de Setores Específicos
6,Ciências Contábeis
6,Teoria Econômica
6,Métodos Quantitativos em Economia
6,Economia Monetária e Fiscal
6,"Crescimento, Flutuações e Planejamento Econômico"
6,Economia Internacional
6,Economia dos Recursos Humanos
6,Economia Industrial
6,Economia do Bem-Estar Social
6,Economia Regional e Urbana
6,Economias Agrária e dos Recursos Naturais
6,Fundamentos de Arquitetura e Urbanismo
6,Projeto de Arquitetura e Urbanismo
6,Tecnologia de Arquitetura e Urbanismo
6,Paisagismo
6,Fundamentos do Planejamento Urbano e Regional
6,Métodos e Técnicas do Planejamento Urbano e Regional
6,Serviços Urbanos e Regionais
6,Distribuição Espacial
6,Tendência Populacional
6,Componentes da Dinâmica Demográfica
6,Nupcialidade e Família
6,Demografia Histórica
6,Política Pública e População
6,Fontes de Dados Demográficos
6,Teoria da Informação
6,Biblioteconomia
6,Arquivologia
6,Teoria da Comunicação
6,Jornalismo e Editoração
6,Rádio e Televisão
6,Relações Públicas e Propaganda
